,dt,name,median_spores,prevalence_hi
386,22240,R3C1SK_MON,5.25715148978692E-07,0
387,22240,R3C2PM_MON,2.96087071172494E-07,0
388,22240,R4C1PK_MON,1.10022100481169E-06,0
389,22240,R4C2SM_MON,1.03384962843601E-06,0
390,22240,R5C1SK_MON,1.46884799402295E-06,0
391,22240,R5C2PM_MON,2.6534498666392E-07,0
392,22240,R6C1PK_MON,6.35249661888549E-07,0
393,22240,R6C2SM_MON,1.99122255640346E-06,0
394,22240,R7C1SK_MON,9.85807474140446E-07,0
395,22240,R7C2PM_MON,1.36153727307873E-06,0
396,22240,R8C1PL_MON,8.33707457924671E-07,0.01
397,22240,R8C2SL_MON,6.7381818530486E-07,0
398,22240,R9C1SL_MON,2.02019442865748E-06,0
399,22240,R9C2PL_MON,7.3580255666217E-08,0
400,22280,R10C1PL_MON,9.6689168491093E-07,0
401,22280,R10C2SL_MON,1.05106983363204E-06,0
402,22280,R1C1SK_MON,1.50785863091353E-06,0
403,22280,R1C2PM_MON,3.79045958307986E-08,0
404,22280,R2C1PK_MON,5.96526473242899E-07,0
405,22280,R2C2SM_MON,0,0
406,22280,R3C1SK_MON,8.51997546887951E-07,0
407,22280,R3C2PM_MON,6.81443144038272E-07,0
408,22280,R4C1PK_MON,1.312910445766E-06,0
409,22280,R4C2SM_MON,1.5365064990889E-06,0
410,22280,R5C1SK_MON,1.86870293010707E-06,0
411,22280,R5C2PM_MON,4.83446311041025E-07,0
412,22280,R6C1PK_MON,9.67286636194543E-07,0
413,22280,R6C2SM_MON,2.45613757628437E-06,0
414,22280,R7C1SK_MON,1.31895534076368E-06,0
415,22280,R7C2PM_MON,1.84146942459589E-06,0
416,22280,R8C1PL_MON,1.25902780616168E-06,0.01
417,22280,R8C2SL_MON,9.9051759674698E-07,0
418,22280,R9C1SL_MON,2.73762080564174E-06,0
419,22280,R9C2PL_MON,1.68277716126099E-07,0
420,22320,R10C1PL_MON,1.47350743044084E-06,0
421,22320,R10C2SL_MON,1.43612437619931E-06,0
422,22320,R1C1SK_MON,2.32151897489277E-06,0
423,22320,R1C2PM_MON,3.79567595281977E-08,0
424,22320,R2C1PK_MON,9.75338696471307E-07,0
425,22320,R2C2SM_MON,0,0
426,22320,R3C1SK_MON,1.22599292411653E-06,0
427,22320,R3C2PM_MON,1.0670072747609E-06,0
428,22320,R4C1PK_MON,1.72560538883924E-06,0
429,22320,R4C2SM_MON,2.03864478317719E-06,0
430,22320,R5C1SK_MON,2.34364257207429E-06,0
431,22320,R5C2PM_MON,8.34226943769406E-07,0
432,22320,R6C1PK_MON,1.2610701519003E-06,0
433,22320,R6C2SM_MON,3.23101074598423E-06,0
434,22320,R7C1SK_MON,1.68795994364542E-06,0
435,22320,R7C2PM_MON,2.35255508430286E-06,0
436,22320,R8C1PL_MON,1.79757940223389E-06,0.02
437,22320,R8C2SL_MON,1.21265047363602E-06,0
438,22320,R9C1SL_MON,3.4478200514564E-06,0
439,22320,R9C2PL_MON,2.94785907195308E-07,0
440,22360,R10C1PL_MON,1.97001821576928E-06,0
441,22360,R10C2SL_MON,2.00679689729365E-06,0
442,22360,R1C1SK_MON,2.8801072030379E-06,0
443,22360,R1C2PM_MON,2.27194745740813E-07,0
444,22360,R2C1PK_MON,1.42171185598732E-06,0
445,22360,R2C2SM_MON,0,0
446,22360,R3C1SK_MON,1.60945197994095E-06,0
447,22360,R3C2PM_MON,1.46702489283805E-06,0
448,22360,R4C1PK_MON,2.15565894366356E-06,0
449,22360,R4C2SM_MON,2.52282464153654E-06,0
450,22360,R5C1SK_MON,2.80738353703165E-06,0
451,22360,R5C2PM_MON,1.32667186491496E-06,0
452,22360,R6C1PK_MON,1.66892483271359E-06,0
453,22360,R6C2SM_MON,4.03535291554801E-06,0
454,22360,R7C1SK_MON,2.07796165396811E-06,0
455,22360,R7C2PM_MON,2.97818273788744E-06,0
456,22360,R8C1PL_MON,2.52379105300292E-06,0.02
457,22360,R8C2SL_MON,1.66505875153746E-06,0
458,22360,R9C1SL_MON,4.29660644550198E-06,0
459,22360,R9C2PL_MON,3.79264180092245E-07,0
460,22400,R10C1PL_MON,2.41174441492262E-06,0
461,22400,R10C2SL_MON,2.41074074099205E-06,0
462,22400,R1C1SK_MON,3.41004364383461E-06,0
463,22400,R1C2PM_MON,4.45306164807548E-07,0
464,22400,R2C1PK_MON,1.73591025526936E-06,0
465,22400,R2C2SM_MON,0,0
466,22400,R3C1SK_MON,1.99285102491475E-06,0
467,22400,R3C2PM_MON,1.8391344666022E-06,0
468,22400,R4C1PK_MON,2.65408223285474E-06,0
469,22400,R4C2SM_MON,3.14661956730819E-06,0
470,22400,R5C1SK_MON,3.6002961130556E-06,0
471,22400,R5C2PM_MON,1.73465598602081E-06,0
472,22400,R6C1PK_MON,2.15168904409296E-06,0
473,22400,R6C2SM_MON,4.87550689626396E-06,0
474,22400,R7C1SK_MON,2.73968402361387E-06,0
475,22400,R7C2PM_MON,3.67967283097748E-06,0
476,22400,R8C1PL_MON,3.59010001599273E-06,0.02
477,22400,R8C2SL_MON,2.15977081808753E-06,0
478,22400,R9C1SL_MON,5.31509423281049E-06,0
479,22400,R9C2PL_MON,4.74628030091792E-07,0
480,22440,R10C1PL_MON,3.04834403634971E-06,0
481,22440,R10C2SL_MON,2.97383070933452E-06,0
482,22440,R1C1SK_MON,4.40062954193371E-06,0
483,22440,R1C2PM_MON,8.05051432021683E-07,0
484,22440,R2C1PK_MON,2.01273863377334E-06,0
485,22440,R2C2SM_MON,0,0
486,22440,R3C1SK_MON,2.30994075251061E-06,0
487,22440,R3C2PM_MON,2.13571021798236E-06,0
488,22440,R4C1PK_MON,3.21678010079039E-06,0
